		capillary endothelial cell	cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	endothelial cell of artery	endothelial cell of lymphatic vessel	endothelial cell of vascular tree	erythrocyte	fast muscle cell	macrophage	mast cell	mature nk t cell	mesenchymal stem cell	mesothelial cell	pericyte cell	skeletal muscle satellite stem cell	slow muscle cell	smooth muscle cell	t cell	tendon cell
PS275200	Hypothyroidism, congenital, nongoitrous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232500	Glycogen Storage Disease Iv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231530	3-@hydroxyacyl-coa Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612300	Hemolytic Anemia, Cd59-mediated, With Or Without Immune-mediated Polyneuropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156530	Metatropic Dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614231	Microcephaly, Epilepsy, And Diabetes Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601198	Hypocalcemia	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	3	0	0	1
PS252150	Molybdenum cofactor deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226960	Lowry-wood Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601678	Bartter syndrome	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
280000	Zunich Neuroectodermal Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618729	Liang-wang Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310200	Muscular Dystrophy, Duchenne Type	4	0	0	1	0	0	29	74	2	0	0	9	0	15	163	81	1	1	7
618339	Infantile Cataract, Skin Abnormalities, Glutamate Excess, And Impaired Intellectual Development	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS602014	Hypomagnesemia	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	2	0	0
143095	Spondyloepiphyseal Dysplasia With Congenital Joint Dislocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615182	Combined D-2- And L-2-hydroxyglutaric Aciduria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105830	Angelman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS190350	Trichorhinophalangeal syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203450	Alexander Disease	6	3	3	6	6	0	0	3	2	1	0	2	3	8	1	6	2	7	3
249900	Metachromatic Leukodystrophy Due To Saposin B Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216340	Cleidocranial Dysplasia With Micrognathia, Absent Thumbs, And Distal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278250	Wrinkly Skin Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616975	Neurodevelopmental Disorder With Or Without Anomalies Of The Brain, Eye, Or Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268300	Roberts Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS300755	Immunodeficiency (Select Examples)	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
616682	Seizures, Scoliosis, And Macrocephaly Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113620	Branchiooculofacial Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617532	Intellectual Developmental Disorder With Neuropsychiatric Features	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618598	Spastic Tetraplegia And Axial Hypotonia, Progressive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618872	Nizon-isidor Syndrome	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0
617182	Language Delay And Attention Deficit-hyperactivity Disorder/cognitive Impairment With Or Without Cardiac Arrhythmia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS208085	Arthrogryposis, renal dysfunction, and cholestasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
605899	Glycine Encephalopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615575	Neuronopathy, Distal Hereditary Motor, Type Iid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618381	Facial Dysmorphism, Hypertrichosis, Epilepsy, Intellectual/developmental Delay, And Gingival Overgrowth Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300990	Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614741	Mitochondrial Pyruvate Carrier Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PS212065	Congenital disorders of glycosylation, type I	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
PS160150	Myopathy, centronuclear	0	0	0	0	0	0	0	25	0	0	0	0	0	0	6	42	0	0	2
617988	Jaberi-elahi Syndrome	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0
PS220210	Ritscher-Schinzel syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600373	Codas Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601462	Myasthenic syndrome, congenital	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	31	0	0	0
618571	Neurodevelopmental Disorder With Cataracts, Poor Growth, And Dysmorphic Facies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618265	Arthrogryposis, Cleft Palate, Craniosynostosis, And Impaired Intellectual Development	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618901	46,xx Sex Reversal 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117300	Dementia, Familial Danish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272750	Tay-sachs Disease, Ab Variant	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
614369	Peripheral Neuropathy, Myopathy, Hoarseness, And Hearing Loss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275400	Oliver-mcfarlane Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS251280	Diencephalic-mesencephalic junction dysplasia syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612932	Glycogen Storage Disease Xiii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617062	Okur-chung Neurodevelopmental Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS127550	Dyskeratosis congenita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
606072	Rippling Muscle Disease	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
615381	Mandibular Hypoplasia, Deafness, Progeroid Features, And Lipodystrophysyndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206920	Microphthalmia With Limb Anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601003	Brody Myopathy	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PS603513	Spastic quadriplegic cerebral palsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
618416	Metabolic Crises, Recurrent, With Variable Encephalomyopathic Features And Neurologic Regression	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS151100	LEOPARD syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
263570	Polyglucosan Body Disease, Adult Form	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609241	Schindler Disease, Type I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613161	Beta-ureidopropionase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618056	Neurodevelopmental Disorder With Cerebellar Atrophy And With Or Without Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611812	46,xx Sex Reversal With Dysgenesis Of Kidneys, Adrenals, And Lungs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601419	Myopathy, myofibrillar	0	0	0	0	0	0	0	43	0	0	0	0	0	0	4	44	0	0	4
606893	Vascular Malformation, Primary Intraosseous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266130	Glutathione Synthetase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300661	Phosphoribosylpyrophosphate Synthetase Superactivity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616632	Seizures, Cortical Blindness, Microcephaly Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304100	Corpus Callosum, Partial Agenesis Of, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618732	Poirier-bienvenu Neurodevelopmental Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184900	Stiff Skin Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
300004	Corpus Callosum, Agenesis Of, With Abnormal Genitalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604484	Neuropathy, Hereditary Motor And Sensory, Okinawa Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS278300	Xanthinuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607459	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS188580	Thyrotoxic periodic paralysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS610253	Kleefstra syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611067	Spinal Muscular Atrophy, Distal, Autosomal Recessive, 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
251100	Methylmalonic Aciduria, Cbla Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613205	Muscular Dystrophy, Congenital, Lmna-related	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
616728	Cleft Palate, Psychomotor Retardation, And Distinctive Facial Features	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617732	Facial Palsy, Congenital, With Ptosis And Velopharyngeal Dysfunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS210600	Seckel syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182212	Shprintzen-goldberg Craniosynostosis Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311900	Tarp Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617352	Mulchandani-bhoj-conlin Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235730	Mowat-wilson Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS603075	Macular degeneration, age-related	5	0	0	0	0	1	0	0	4	0	0	1	0	16	0	0	0	0	0
617364	Congenital Heart Defects And Ectodermal Dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154700	Marfan Syndrome	0	0	0	5	0	0	0	0	2	0	0	0	0	0	1	0	24	0	3
PS167320	Inclusion body myopathy/Paget disease/frontotemporal dementia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210000	Behr Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618346	Microcephaly, Growth Deficiency, Seizures, And Brain Malformations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
606703	Dyskinesia, Familial, With Facial Myokymia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS249500	Mental retardation, autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
PS228520	Fibrochondrogenesis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
616651	Roifman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS211530	Brown-Vialetto-Van Laere syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230600	Gm1-gangliosidosis, Type Ii	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PS178110	Contractures, pterygia, and variable skeletal fusions syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613730	Hemorrhagic Destruction Of The Brain, Subependymal Calcification,and Cataracts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272200	Multiple Sulfatase Deficiency	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
618492	Neurodevelopmental Disorder With Microcephaly And Structural Brain Anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS135900	Coffin-Siris syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600794	Neuronopathy, Distal Hereditary Motor, Type V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS105650	Diamond-Blackfan anemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264470	Peroxisomal Acyl-coa Oxidase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614457	Ichthyosis, Spastic Quadriplegia, And Mental Retardation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615281	Hypomyelination With Brainstem And Spinal Cord Involvement And Legspasticity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611890	Congenital Arthrogryposis With Anterior Horn Cell Disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
253550	Spinal Muscular Atrophy, Type Ii	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	5	0	0	1
PS248370	Mandibuloacral dysplasia with lipodystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612716	Dystonia, Dopa-responsive, Due To Sepiapterin Reductase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618278	Fibrosis, Neurodegeneration, And Cerebral Angiomatosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274000	Thrombocytopenia-absent Radius Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS609060	Combined oxidative phosphorylation deficiency	2	1	1	3	0	0	0	4	0	0	0	3	0	2	4	1	2	1	3
309580	Mental Retardation-hypotonic Facies Syndrome, X-linked, 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS100300	Adams-Oliver syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
618092	Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-cell Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617157	Short Stature, Brachydactyly, Intellectual Developmental Disability, And Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245200	Krabbe Disease	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	3
617478	Structural Heart Defects And Renal Anomalies Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255800	Schwartz-jampel Syndrome, Type 1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	4
618343	Polymicrogyria With Or Without Vascular-type Ehlers-danlos Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164200	Oculodentodigital Dysplasia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
261630	Phenylketonuria Ii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
276820	Ulna And Fibula, Absence Of, With Severe Limb Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615574	Asparagine Synthetase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210710	Microcephalic Osteodysplastic Primordial Dwarfism, Type I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS600118	Warburg micro syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS604772	Ventricular tachycardia, catecholaminergic polymorphic	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0
612138	Epidermolysis Bullosa Simplex With Pyloric Atresia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618950	Suleiman-el-hattab Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618273	Mega-corpus-callosum Syndrome With Cerebellar Hypoplasia And Cortical Malformations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130650	Beckwith-wiedemann Syndrome	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
271665	Spondylometaepiphyseal Dysplasia, Short Limb-hand Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617360	Congenital Heart Defects, Dysmorphic Facial Features, And Intellectual Developmental Disorder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245340	Erythrocyte Lactate Transporter Defect	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
615704	Poikiloderma, Hereditary Fibrosing, With Tendon Contractures, Myopathy,and Pulmonary Fibrosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612938	Growth Retardation, Developmental Delay, Coarse Facies, And Early	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615924	Encephalopathy, Progressive, With Or Without Lipodystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618010	Glycosylphosphatidylinositol Biosynthesis Defect 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617865	Neurodevelopmental Disorder With Movement Abnormalities, Abnormal Gait, And Autistic Features	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616459	Al-raqad Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146500	Multiple System Atrophy 1, Susceptibility To	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
139210	Myhre Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258480	Opsismodysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301029	Shukla-vernon Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS251290	Pseudo-TORCH syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PS257300	Mosaic variegated aneuploidy syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS147950	Hypogonadotropic hypogonadism with or without anosmia	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
619072	Neurodevelopmental Disorder With Seizures And Brain Atrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
619005	Neurodevelopmental Disorder With Dysmorphic Facies, Impaired Speech And Hypotonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609220	Bruck Syndrome 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255600	Myosclerosis, Autosomal Recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241530	Hypophosphatemic Rickets With Hypercalciuria, Hereditary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241410	Hypoparathyroidism-retardation-dysmorphism Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612780	Seizures, Sensorineural Deafness, Ataxia, Mental Retardation, And	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618622	Neurodevelopmental Disorder With Microcephaly, Arthrogryposis, And Structural Brain Anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614559	Infantile Cerebellar-retinal Degeneration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618733	Neuromuscular Disease And Ocular Or Auditory Anomalies With Or Without Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275210	Tight Skin Contracture Syndrome, Lethal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS224050	Cerebellar ataxia, mental retardation, and dysequilibrium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233910	Gtp Cyclohydrolase I Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261670	Phosphoglycerate Mutase, Muscle, Deficiency Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278760	Xeroderma Pigmentosum, Complementation Group F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS607086	Aortic aneurysm, familial thoracic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PS213300	Joubert syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176000	Porphyria, Acute Intermittent	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
617296	Spastic Paraplegia, Intellectual Disability, Nystagmus, And Obesity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264070	Hyperphenylalaninemia, Bh4-deficient, D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601104	Supranuclear Palsy, Progressive, 1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
618635	Siddiqi Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618443	Neurodevelopmental Disorder With Or Without Variable Brain Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS167250	Paget disease of bone	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	4
610455	Tumoral Calcinosis, Normophosphatemic, Familial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613563	Noonan Syndrome-like Disorder With Or Without Juvenile Myelomonocyticleukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614023	Phosphoserine Phosphatase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609460	Goldberg-shprintzen Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616756	Spastic Paraplegia And Psychomotor Retardation With Or Without Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618961	Spondylometaphyseal Dysplasia With Corneal Dystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
619074	Cleft Palate, Proliferative Retinopathy, And Developmental Delay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617051	Mental Retardation, Autosomal Recessive 55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618718	Neurodevelopmental Disorder With Behavioral Abnormalities, Absent Speech, And Hypotonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS131100	Multiple endocrine neoplasia	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0
PS615895	Polyglucosan body myopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	4	0	0	4	0	2	0	1	0	0	0	0	0	30	0	2	13	0	0
618859	Neurodevelopmental Disorder With Or Without Autistic Features And/or Structural Brain Abnormalities	1	0	0	1	0	1	0	0	0	0	0	1	0	11	0	0	1	0	0
618890	Neurodevelopmental Disorder And Structural Brain Anomalies With Or Without Seizures And Spasticity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275630	Chanarin-dorfman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617862	Neurodevelopmental Disorder With Microcephaly, Epilepsy, And Brain Atrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609033	Ataxia, Posterior Column, With Retinitis Pigmentosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232800	Glycogen Storage Disease Vii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612740	Porphyria, Acute Hepatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS236100	Holoprosencephaly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
617519	Myopathy, Congenital, With Neuropathy And Deafness	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS135700	Fibrosis of extraocular muscles, congenital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
618342	Intellectual Developmental Disorder With Abnormal Behavior, Microcephaly, And Short Stature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251000	Methylmalonic Aciduria Due To Methylmalonyl-coa Mutase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615512	Triosephosphate Isomerase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612394	Bone Fragility With Contractures, Arterial Rupture, And Deafness	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194080	Denys-drash Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
617268	Neurodevelopmental Disorder With Hypotonia, Seizures, And Absent Language	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS309510	Mental retardation, X-linked syndromic	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0
277440	Vitamin D-dependent Rickets, Type Ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PS236670	Muscular dystrophy-dystroglycanopathy, type A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
616839	Exercise Intolerance, Riboflavin-responsive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS254130	Miyoshi muscular dystrophy	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
PS251300	Galloway-Mowat syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256840	Neuropathy, Hereditary Sensory, With Spastic Paraplegia, Autosomal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
618798	Beck-fahrner Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
