		cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	cd24 neutrophil	erythrocyte	erythroid progenitor	granulocyte	hematopoietic stem cell	macrophage	memory b cell	monocyte	myeloid progenitor	naive b cell	nampt neutrophil	neutrophil	nk cell	plasma cell
277380	Methylmalonic Aciduria And Homocystinuria, Cblf Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130600	Elliptocytosis 2	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0
PS120100	Familial cold autoinflammatory syndrome	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0
PS211600	Cholestasis, progressive familial intrahepatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618795	Juvenile Arthritis	2	2	0	0	1	4	1	1	5	2	0	3	0	2	6	5
615688	Vasculitis, Autoinflammation, Immunodeficiency, And Hematologic Defects Syndrome	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
248500	Mannosidosis, Alpha B, Lysosomal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613235	Factor Xiii, B Subunit, Deficiency Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226600	Epidermolysis Bullosa Dystrophica, Autosomal Recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175200	Peutz-jeghers Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS218330	Cranioectodermal dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS188050	Thrombophilia	0	0	0	2	1	2	0	0	0	10	1	0	0	2	1	0
PS230400	Galactosemia	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0
301040	Alpha-thalassemia/mental Retardation Syndrome, Nondeletion Type, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150550	Periodic Fever, Immunodeficiency, And Thrombocytopenia Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS166200	Osteogenesis imperfecta	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2
254600	Myeloperoxidase Deficiency	0	0	0	0	0	14	0	0	0	4	1	0	0	20	0	0
262850	Plasmin Inhibitor Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS206100	Anemia, hypochromic microcytic, with iron overload	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154800	Mast Cell Disease	1	3	0	0	5	12	2	22	3	6	24	5	0	1	11	17
269920	Infantile Sialic Acid Storage Disorder	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PS277450	Vitamin K-dependent clotting factors, combined deficiency of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS606777	Glut1 deficiency syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS606176	Diabetes mellitus, permanent neonatal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617021	Hydrops, Lactic Acidosis, And Sideroblastic Anemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607616	Niemann-pick Disease, Type B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS610489	Pigmented nodular adrenocortical disease, primary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS214450	Griscelli syndrome	0	0	0	0	0	2	0	0	1	1	1	0	0	0	3	1
177850	Pseudoxanthoma Elasticum, Forme Frustepseudoxanthoma Elasticum, Heterozygous, Included	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607236	Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa,and Pallidal Degeneration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601859	Autoimmune Lymphoproliferative Syndrome	4	3	0	0	1	1	1	0	9	0	0	7	0	1	0	4
200150	Choreoacanthocytosis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
162800	Cyclic Hematopoiesis	0	0	0	1	5	15	4	0	0	0	10	0	0	6	0	0
PS253600	Muscular dystrophy, limb-girdle, autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600195	Venous Malformations, Multiple Cutaneous And Mucosal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS235200	Hemochromatosis	1	1	0	1	6	0	0	0	0	2	1	0	0	0	0	2
PS259700	Osteopetrosis, autosomal recessive	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
618852	Autoinflammation With Episodic Fever And Lymphadenopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS220110	Mitochondrial complex IV deficiency, nuclear-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607271	Autoimmune Lymphoproliferative Syndrome, Type Iib	4	3	0	0	1	1	1	0	9	0	0	7	0	1	0	4
251900	Mitochondrial Myopathy, Episodic, With Optic Atrophy And Reversible Leukoencephalopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614868	T-cell Immunodeficiency, Recurrent Infections, And Autoimmunity Withor Without Cardiac Malformations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275350	Transcobalamin Ii Deficiency	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
604498	Amegakaryocytic Thrombocytopenia, Congenital	0	0	0	0	2	1	2	0	0	0	1	0	0	0	0	0
617441	Thrombocytopenia, Anemia, And Myelofibrosis	0	0	0	0	4	1	1	0	0	0	3	0	0	0	0	0
185020	Cryohydrocytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278000	Lysosomal Acid Lipase Deficiency	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
607847	Neutropenia, Nonimmune Chronic Idiopathic, Of Adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601495	Agammaglobulinemia	0	0	0	0	3	5	2	1	79	3	6	93	0	6	3	64
314050	Thrombocytopenia With Beta-thalassemia, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167800	Pancreatitis, Hereditary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180000	Retinal Arteries, Tortuosity Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256700	Neuroblastoma	0	0	0	0	0	0	5	0	0	2	3	0	0	1	4	1
185070	Stormorken Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617425	Immunoskeletal Dysplasia With Neurodevelopmental Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614979	Splenomegaly, Cytopenia, And Vision Loss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS235400	Hemolytic uremic syndrome	0	0	0	7	0	3	0	0	0	2	0	0	0	3	0	0
231095	Ghosal Hematodiaphyseal Dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603554	Omenn Syndrome	20	15	0	1	19	7	103	3	43	7	56	69	0	2	44	17
606003	Transaldolase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS266900	Senior-Loken syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269600	Sea-blue Histiocyte Disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615558	Hypobetalipoproteinemia, Familial, 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266200	Pyruvate Kinase Deficiency Of Red Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266120	Uridine 5-prime Monophosphate Hydrolase Deficiency, Hemolytic Anemiadue To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241500	Hypophosphatasia, Infantile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS130000	Ehlers-Danlos syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
253270	Holocarboxylase Synthetase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS179800	Distal renal tubular acidosis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
222800	Diphosphoglycerate Mutase Deficiency Of Erythrocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS607426	Coenzyme Q10 deficiency, primary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613985	Beta-thalassemia	0	0	0	32	128	1	10	0	2	2	5	2	0	3	1	0
PS615438	Infantile liver failure syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301310	Anemia, Sideroblastic, And Spinocerebellar Ataxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS276300	Mismatch repair cancer syndrome	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
610842	Pseudoxanthoma Elasticum-like Disorder With Multiple Coagulation Factor Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613470	Hemolytic Anemia, Nonspherocytic, Due To Glucose Phosphate Isomerase	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0
PS266600	Inflammatory bowel disease	1	0	0	0	2	8	0	6	3	1	0	2	0	3	0	1
229600	Fructose Intolerance, Hereditary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS210900	Microcephaly, growth restriction and increased sister chromatid exchange	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS603278	Focal segmental glomerulosclerosis	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	2
PS214700	Diarrhea, congenital	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
193670	Whim Syndrome	0	0	0	0	0	1	2	0	3	0	1	1	0	0	2	2
216550	Cohen Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
613845	Hyperuricemia, Pulmonary Hypertension, Renal Failure, And Alkalosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS222470	Trichohepatoenteric syndrome	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
312700	Retinoschisis 1, X-linked, Juvenile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS225750	Aicardi-Goutieres syndrome	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
263700	Porphyria, Congenital Erythropoietic	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
251110	Methylmalonic Aciduria, Cblb Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616050	Autoinflammation With Infantile Enterocolitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226300	Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261000	Intrinsic Factor Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS613280	Hypermanganesemia with dystonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS267700	Hemophagocytic lymphohistiocytosis, familial	0	2	0	0	3	1	1	1	6	5	3	4	0	0	40	4
268150	Anemia, Hemolytic, Rh-null, Regulator Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140700	Heinz Body Anemias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616649	Spherocytosis, Type 2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
610539	Gaucher Disease, Atypical	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS133100	Erythrocytosis, familial	0	0	0	2	51	4	1	0	0	0	9	0	0	0	0	0
615559	Autoimmune Lymphoproliferative Syndrome, Type Iii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS162000	Tubulointerstitial kidney disease	0	0	0	0	2	0	0	7	2	2	0	1	0	4	3	40
PS124900	Deafness, autosomal dominant	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PS301050	Alport syndrome	0	0	0	1	1	3	1	1	0	1	0	0	0	1	0	0
612714	Exocrine Pancreatic Insufficiency, Dyserythropoietic Anemia, And Calvarial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603903	Sickle Cell Anemia	0	0	0	24	15	2	8	0	1	2	0	0	0	3	1	2
300853	Immunodeficiency, X-linked, With Magnesium Defect, Epstein-barr Virus Infection And Neoplasia	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
256500	Netherton Syndrome	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
233650	Combined Cellular And Humoral Immune Defects With Granulomas	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
210370	Bietti Crystalline Corneoretinal Dystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613679	Congenital Prothrombin Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS610460	Thiopurines, poor metabolism of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS612199	Cerebroretinal microangiopathy with calcfications and cysts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230450	Gamma-glutamylcysteine Synthetase Deficiency, Hemolytic Anemia Dueto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS175780	Brain small vessel disease	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1
PS256730	Ceroid lipofuscinoses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229050	Folic Acid, Transport Defect Involving	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226670	Epidermolysis Bullosa Simplex With Muscular Dystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS127000	Kenny-Caffey syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS607765	Bile acid synthesis defect, congenital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617948	Elliptocytosis-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300048	Intestinal Pseudoobstruction, Neuronal, Chronic Idiopathic, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
607330	Lathosterolosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169400	Pelger-huet Anomaly	0	0	0	0	1	14	0	0	0	0	3	0	0	10	0	0
PS250950	3-Methylglutaconic aciduria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234000	Factor Xii Deficiency	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
PS300751	Anemia, Sideroblastic	0	0	0	7	31	6	2	1	0	0	11	0	0	1	0	2
614493	Wiskott-aldrich Syndrome 2	0	1	0	0	1	2	2	0	3	0	3	6	0	2	5	2
608885	Stomatin-deficient Cryohydrocytosis With Neurologic Defects	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613839	Megaloblastic Anemia Due To Dihydrofolate Reductase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185000	Overhydrated Hereditary Stomatocytosis	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
277400	Methylmalonic Aciduria And Homocystinuria, Cblc Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257220	Niemann-pick Disease, Type C1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
182900	Spherocytosis, Hereditary	0	0	0	79	9	1	1	0	1	0	2	0	0	2	1	0
616737	Takenouchi-kosaki Syndrome	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
616577	Epilepsy, Hearing Loss, And Mental Retardation Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194380	Dehydrated Hereditary Stomatocytosis With Or Without Pseudohyperkalemiaand/or Perinatal Edema	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
605027	Lymphoma, Non-hodgkin, Familial	0	0	0	0	2	1	0	0	1	1	4	4	0	0	6	13
258900	Orotic Aciduria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600802	Scid, Autosomal Recessive, T-negative/b-positive Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS261100	Imerslund-Grasbeck syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246450	3-hydroxy-3-methylglutaryl-coa Lyase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231005	Gaucher Disease, Type Iiic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS306400	Granulomatous disease, chronic	6	2	0	0	1	100	8	13	17	25	11	7	0	112	5	9
610293	Glycosylphosphatidylinositol Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
611174	Hamamy Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229100	Formiminotransferase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617053	Mirage Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208050	Arterial Tortuosity Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230800	Gaucher Disease, Type I	0	0	0	0	6	0	3	7	1	3	4	1	0	2	0	6
228000	Farber Lipogranulomatosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277410	Methylmalonic Aciduria And Homocystinuria, Cbld Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610582	Diabetes Mellitus, Transient Neonatal, 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS256100	Nephronophthisis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610090	Pyridoxamine 5-prime-phosphate Oxidase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250800	Methemoglobinemia Due To Deficiency Of Methemoglobin Reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616689	Dehydrated Hereditary Stomatocytosis 2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
611804	Elliptocytosis 1	0	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0
618372	Gastrointestinal Ulceration, Recurrent, With Dysfunctional Platelets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609529	Immunoglobulin A Deficiency 2	1	1	0	0	0	1	0	0	26	0	0	15	0	1	0	11
PS603041	Mitochondrial DNA depletion syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256550	Neuraminidase Deficiency	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	2
617911	Diamond-blackfan Anemia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617241	Lung Disease, Immunodeficiency, And Chromosome Breakage Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232200	Glycogen Storage Disease Ia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
618223	Vertebral Anomalies And Variable Endocrine And T-cell Dysfunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250940	Homocystinuria-megaloblastic Anemia, Cblg Complementation Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
