Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
235400	"Hemolytic Uremic Syndrome, Atypical"	134371	CFHR1	Cfhr1	1	1	PS235400	Hemolytic uremic syndrome	0	0	Yes	['hematopoietic.stem.cell']	
235555	"Bile Acid Synthesis Defect, Congenital, 2"	604741	AKR1D1	Akr1d1	1	1	PS607765	"Bile acid synthesis defect, congenital"	0	0	Yes		
235700	Hexokinase Deficiency Hemolytic Anemia	142600	HK1	Hk1	1	1			1	1	Yes		
236000	Hodgkin Lymphoma	613169	KLHDC8B	Klhdc8b	1	1			1	0			
236200	Homocystinuria Due To Cystathionine Beta-synthase Deficiency	613381	CBS	Cbs	1	1			0	0			
236270	"Homocystinuria-megaloblastic Anemia Due To Defect In Cobalamin Metabolism,cble Complementation Type"	602568	MTRR	Mtrr	1	1			1	0			
238700	Hyperlysinemia	605113	AASS	Aass	1	1			1	0			
239200	"Hyperparathyroidism, Neonatal Severe"	601199	CASR	Casr	1	1	PS145000	Hyperparathyroidism	0	0			
240500	"Immunodeficiency, Common Variable, 2"	604907	TNFRSF13B	Tnfrsf13b	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
241200	"Bartter Syndrome, Antenatal, Type 2"	600359	KCNJ1	Kcnj1	1	1	PS601678	Bartter syndrome	0	0			
241500	"Hypophosphatasia, Infantile"	171760	ALPL	Alpl	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
242840	"Immunodeficiency With Cleft Lip/palate, Cataract, Hypopigmentation,and Absent Corpus Callosum"	615068	EPG5	Epg5	1	1			1	0			
242860	Immunodeficiency-centromeric Instability-facial Anomalies Syndrome1	602900	DNMT3B	Dnmt3b	1	1	PS242860	Immunodeficiency-centromeric instability-facial anomalies	1	1	Yes	"['hematopoietic.stem.cell', 'myeloid.progenitor']"	
242900	"Immunoosseous Dysplasia, Schimke Type"	606622	SMARCAL1	Smarcal1	1	1			1	1	Yes		
243150	Gastrointestinal Defects And Immunodeficiency Syndrome	609332	TTC7A	Ttc7	1	1			1	1	Yes		
243500	Isovaleric Acidemia	607036	IVD	Ivd	1	1			1	1	Yes	['myeloid.progenitor']	
243700	"Hyperimmunoglobulin E-recurrent Infection Syndrome, Autosomal Recessive"	611432	DOCK8	Dock8	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes		
244460	"Kenny-caffey Syndrome, Type 1"	604934	TBCE	Tbce	1	1	PS127000	Kenny-Caffey syndrome	1	1	Yes		
245200	Krabbe Disease	606890	GALC	Galc	1	1			1	0			
245480	Specific Granule Deficiency	600749	CEBPE	Cebpe	1	1	PS245480	Specific granule deficiency	1	1	Yes	['cd24.neutrophil']	
245900	Lecithin:cholesterol Acyltransferase Deficiency	606967	LCAT	Lcat	1	1			0	0			
246450	3-hydroxy-3-methylglutaryl-coa Lyase Deficiency	613898	HMGCL	Hmgcl	1	1			1	1	Yes		
248500	"Mannosidosis, Alpha B, Lysosomal"	609458	MAN2B1	Man2b1	1	1			1	1	Yes	['macrophage']	
249100	"Familial Mediterranean Fever, Ar"	608107	MEFV	Mefv	1	1			1	1	Yes	['nampt.neutrophil']	
249270	Thiamine-responsive Megaloblastic Anemia Syndrome	603941	SLC19A2	Slc19a2	1	1	PS249270	Thiamine-responsive dysfunction syndrome	0	0			
250250	Cartilage-hair Hypoplasia	157660	RMRP		1	1			0	0			
250790	Methemoglobinemia And Ambiguous Genitalia	613218	CYB5A	Cyb5a	1	1			1	0			
250800	Methemoglobinemia Due To Deficiency Of Methemoglobin Reductase	613213	CYB5R3		1	1			1	0			
250940	"Homocystinuria-megaloblastic Anemia, Cblg Complementation Type"	156570	MTR	Mtr	1	1			1	0			
251000	Methylmalonic Aciduria Due To Methylmalonyl-coa Mutase Deficiency	609058	MMUT	Mmut	1	1			1	0			
251100	"Methylmalonic Aciduria, Cbla Type"	607481	MMAA	Mmaa	1	1			0	1	Yes		
251110	"Methylmalonic Aciduria, Cblb Type"	607568	MMAB	Mmab	1	1			1	0			
251260	Nijmegen Breakage Syndrome	602667	NBN	Nbn	1	1			1	1	Yes	['neutrophil']	
251290	Pseudo-torch Syndrome	602876	OCLN	Ocln	1	1	PS251290	Pseudo-TORCH syndrome	0	0			
251880	"Mitochondrial Dna Depletion Syndrome, Hepatocerebral Form"	601465	DGUOK	Dguok	1	1	PS603041	Mitochondrial DNA depletion syndrome	1	1	Yes	['nk.cell']	
251900	"Mitochondrial Myopathy, Episodic, With Optic Atrophy And Reversible Leukoencephalopathy"	614585	FDX2	Fdx2	1	1			1	0			
252270	Myelodysplasia And Leukemia Syndrome With Monosomy 7	611170	SAMD9L	Samd9l	1	1	PS252270	Monosomy 7 myelodysplasia and leukemia syndrome	1	1	Yes	['cd24.neutrophil']	"['band.form.neutrophil', 'segmented.neutrophil.of.bone.marrow']"
253270	Holocarboxylase Synthetase Deficiency	609018	HLCS	Hlcs	1	1			0	1			
253600	"Muscular Dystrophy, Limb-girdle, Type 2a"	114240	CAPN3	Capn3	1	1	PS253600	"Muscular dystrophy, limb-girdle, autosomal recessive"	0	0			
254600	Myeloperoxidase Deficiency	606989	MPO	Mpo	1	1			1	1	Yes	['granulocyte']	
254900	"Epilepsy, Progressive Myoclonic 4, With Or Without Renal Failure"	602257	SCARB2	Scarb2	1	1	PS254800	"Epilepsy, progressive myoclonic"	1	1	No		
255125	"Myopathy With Exercise Intolerance, Swedish Type"	611911	ISCU	Iscu	1	1			1	1	No		
256040	Proteasome-associated Autoinflammatory Syndrome 1 And Digenic Forms	177046	PSMB8	Psmb8	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1	Yes		
256100	Nephronophthisis 1	607100	NPHP1	Nphp1	1	1	PS256100	Nephronophthisis	0	1			
256500	Netherton Syndrome	605010	SPINK5	Spink5	1	1			0	0			
256550	Neuraminidase Deficiency	608272	NEU1	Neu1	1	1			1	1	Yes	['nk.cell']	
256700	Neuroblastoma	605995	KIF1B	Kif1b	1	1			1	1	Yes	"['cd24.neutrophil', 'neutrophil']"	
257200	"Niemann-pick Disease, Type A"	607608	SMPD1	Smpd1	1	1			1	1	Yes		
257220	"Niemann-pick Disease, Type C1"	607623	NPC1	Npc1	1	1			1	1	Yes	['nk.cell']	
257300	Mosaic Variegated Aneuploidy Syndrome 1	602860	BUB1B	Bub1b	1	1	PS257300	Mosaic variegated aneuploidy syndrome	1	1	Yes	['granulocyte']	['immature.B.cell']
258900	Orotic Aciduria	613891	UMPS	Umps	1	1			1	1	Yes	['myeloid.progenitor']	['precursor.B.cell']
259700	"Osteopetrosis, Autosomal Recessive 1"	604592	TCIRG1	Tcirg1	1	1	PS259700	"Osteopetrosis, autosomal recessive"	1	1	Yes		
259710	"Osteopetrosis, Autosomal Recessive 2"	602642	TNFSF11	Tnfsf11	1	1	PS259700	"Osteopetrosis, autosomal recessive"	0	0	Yes		
259720	"Osteopetrosis, Autosomal Recessive 5"	607649	OSTM1	Ostm1	1	1	PS259700	"Osteopetrosis, autosomal recessive"	1	1	Yes		
259730	"Osteopetrosis, Autosomal Recessive 3"	611492	CA2	Car2	1	1	PS259700	"Osteopetrosis, autosomal recessive"	1	1	Yes		
260400	Shwachman-diamond Syndrome	607444	SBDS	Sbds	1	1	PS260400	Schwachman-Diamond syndrome	1	1	Yes		
260920	Hyper-igd Syndrome	251170	MVK	Mvk	1	1			0	1	Yes		
261000	Intrinsic Factor Deficiency	609342	CBLIF	Cblif	1	1			0	0			
261100	Megaloblastic Anemia 1	602997	CUBN	Cubn	1	1	PS261100	Imerslund-Grasbeck syndrome	0	0			
261500	Eosinophil Peroxidase Deficiency	131399	EPX	Epx	1	1			0	0			
262850	Plasmin Inhibitor Deficiency	613168	SERPINF2	Serpinf2	1	1			0	0			
262890	Scott Syndrome	608663	ANO6	Ano6	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
263400	"Erythrocytosis, Familial, 2"	608537	VHL	Vhl	1	1	PS133100	"Erythrocytosis, familial"	1	1	Yes		
263700	"Porphyria, Congenital Erythropoietic"	606938	UROS	Uros	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
264800	Pseudoxanthoma Elasticum	603234	ABCC6	Abcc6	1	1			0	0	No		
264800	Pseudoxanthoma Elasticum	608124	XYLT1	Xylt1	1	1			1	0	No		
264800	Pseudoxanthoma Elasticum	608125	XYLT2	Xylt2	1	1			0	1	No		
266120	"Uridine 5-prime Monophosphate Hydrolase Deficiency, Hemolytic Anemiadue To"	606224	NT5C3A	Nt5c3	1	1			1	1	Yes		
266130	Glutathione Synthetase Deficiency	601002	GSS	Gss	1	1			1	1	Yes		
266140	"Pyropoikilocytosis, Hereditary"	182860	SPTA1	Spta1	1	1			1	0			
266200	Pyruvate Kinase Deficiency Of Red Cells	609712	PKLR	Pklr	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
266265	"Congenital Disorder Of Glycosylation, Type Iic"	605881	SLC35C1	Slc35c1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
266510	"Refsum Disease, Infantile Form"	601758	PEX12	Pex12	1	1	PS214100	Peroxisome biogenesis disorder	0	0			
266900	Senior-loken Syndrome 1	607100	NPHP1	Nphp1	1	1	PS266900	Senior-Loken syndrome	0	1			
266920	Short-rib Thoracic Dysplasia 9 With Or Without Polydactyly	614620	IFT140	Ift140	1	1	PS208500	Short-rib thoracic dysplasia	0	1	No		
267500	Reticular Dysgenesia	103020	AK2	Ak2	1	1			1	1	Yes	['granulocyte']	
268130	Revesz Syndrome	604319	TINF2	Tinf2	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
268150	"Anemia, Hemolytic, Rh-null, Regulator Type"	180297	RHAG	Rhag	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
269600	Sea-blue Histiocyte Disease	107741	APOE	Apoe	1	1			1	1	Yes	['erythroid.progenitor']	
269920	Infantile Sialic Acid Storage Disorder	604322	SLC17A5	Slc17a5	1	1			1	1	Yes		
270970	"Spherocytosis, Autosomal Recessive"	182860	SPTA1	Spta1	1	1			1	0			
271400	"Asplenia, Isolated Congenital"	150370	RPSA	Rpsa	1	1			1	1	Yes		
271510	"Spondyloepimetaphyseal Dysplasia, Sponastrime Type"	604546	TONSL	Tonsl	1	1			1	0			
273800	Glanzmann Thrombasthenia	607759	ITGA2B	Itga2b	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
273800	Glanzmann Thrombasthenia	173470	ITGB3	Itgb3	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
273900	Thrombocytopenia 3	602731	FYB1	Fyb	1	1	PS313900	Thrombocytopenia	1	1	Yes		
274000	Thrombocytopenia-absent Radius Syndrome	605313	RBM8A	Rbm8a	1	1			1	1	Yes	['nk.cell']	
274150	"Thrombotic Thrombocytopenic Purpura, Congenital"	604134	ADAMTS13	Adamts13	1	1			0	0			
275350	Transcobalamin Ii Deficiency	613441	TCN2	Tcn2	1	1			1	1	Yes	"['macrophage', 'monocyte']"	
275630	Chanarin-dorfman Syndrome	604780	ABHD5	Abhd5	1	1			1	1	Yes	['cd24.neutrophil']	
276300	Mismatch Repair Cancer Syndrome	120436	MLH1	Mlh1	1	1	PS276300	Mismatch repair cancer syndrome	1	0	Yes		
276700	"Tyrosinemia, Type I"	613871	FAH	Fah	1	1	PS276700	Tyrosinemia	1	0			
277380	"Methylmalonic Aciduria And Homocystinuria, Cblf Type"	612625	LMBRD1	Lmbrd1	1	1			1	1	Yes	['naive.b.cell']	['mature.B.cell']
277400	"Methylmalonic Aciduria And Homocystinuria, Cblc Type"	609831	MMACHC	Mmachc	1	1			0	0	Yes	['hematopoietic.stem.cell']	
277400	"Methylmalonic Aciduria And Homocystinuria, Cblc Type"	176763	PRDX1	Prdx1	1	1			1	1	Yes	['hematopoietic.stem.cell']	
277410	"Methylmalonic Aciduria And Homocystinuria, Cbld Type"	611935	MMADHC	Mmadhc	1	1			1	1	Yes		
277450	"Vitamin K-dependent Clotting Factors, Combined Deficiency Of, 1"	137167	GGCX	Ggcx	1	1	PS277450	"Vitamin K-dependent clotting factors, combined deficiency of"	1	0	Yes		
277480	"Von Willebrand Disease, Recessive Form"	613160	VWF	Vwf	1	1			1	0			
277900	Wilson Disease	606882	ATP7B	Atp7b	1	1			1	0			
278000	Lysosomal Acid Lipase Deficiency	613497	LIPA	Lipa	1	1			1	1	Yes	"['macrophage', 'monocyte']"	['monocyte']
280000	Zunich Neuroectodermal Syndrome	605947	PIGL	Pigl	1	1			1	0			
300048	"Intestinal Pseudoobstruction, Neuronal, Chronic Idiopathic, X-linked"	300017	FLNA	Flna	1	1			1	1	Yes		
300049	"Heterotopia, Periventricular, X-linked Dominant"	300017	FLNA	Flna	1	1	PS300049	Periventricular nodular heterotopia	1	1	Yes		
300299	"Neutropenia, Severe Congenital, X-linked"	300392	WAS	Was	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
300322	Lesch-nyhan Syndrome	308000	HPRT1	Hprt	1	1			1	1	Yes	['erythroid.progenitor']	
300367	"Dyserythropoietic Anemia With Thrombocytopeniamacrothrombocytopenia, X-linked, Included"	305371	GATA1	Gata1	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
300400	"Severe Combined Immunodeficiency, X-linked"	308380	IL2RG	Il2rg	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
300514	"Fanconi Anemia, Complementation Group B"	300515	FANCB	Fancb	1	1	PS227650	Fanconi anemia	1	0			
300635	"Lymphoproliferative Syndrome, X-linked, 2"	300079	XIAP	Xiap	1	1	PS308240	Lymphoproliferative syndrome	1	1	Yes		
300653	Phosphoglycerate Kinase 1 Deficiency	311800	PGK1	Pgk1	1	1			1	1	Yes		
300751	"Anemia, Sideroblastic, X-linked"	301300	ALAS2	Alas2	1	1	PS300751	"Anemia, Sideroblastic"	1	1	Yes	['erythrocyte']	['erythroblast']
300752	"Protoporphyria, Erythropoietic, X-linked"	301300	ALAS2	Alas2	1	1	PS177000	"Protoporphyria, erythropoietic"	1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
300807	"Thrombophilia, X-linked, Due To Factor Ix Defect"	300746	F9	F9	1	1	PS188050	Thrombophilia	0	0	Yes		
300835	"Anemia, X-linked, With Or Without Neutropenia And/or Platelet Abnormalities"	305371	GATA1	Gata1	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
300842	Mcleod Syndrome	314850	XK	Xk	1	1			1	1	Yes	['erythrocyte']	['proerythroblast']
300853	"Immunodeficiency, X-linked, With Magnesium Defect, Epstein-barr Virus Infection And Neoplasia"	300715	MAGT1	Magt1	1	1			1	1	Yes		
300908	"Anemia, Nonspherocytic Hemolytic, Due To G6pd Deficiency"	305900	G6PD	G6pdx	1	1			1	1	Yes	['cd24.neutrophil']	['band.form.neutrophil']
300934	"Congenital Disorder Of Glycosylation, Type Iy"	300090	SSR4	Ssr4	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	No		
300946	Diamond-blackfan Anemia 14 With Mandibulofacial Dysostosis	300945	TSR2	Tsr2	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
300972	Immunodeficiency 47	300197	ATP6AP1	Atp6ap1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
300972	Immunodeficiency 47	300197	ATP6AP1	Atp6ap1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
300988	Immunodeficiency 50	309845	MSN	Msn	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
300990	"Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis"	300195	AMMECR1	Ammecr1	1	1			1	1	Yes	['erythrocyte']	
301000	Wiskott-aldrich Syndrome	300392	WAS	Was	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
301015	"Hemolytic Anemia, Congenital, X-linked"	300516	ATP11C	Atp11c	1	1			1	1	Yes		
301040	"Alpha-thalassemia/mental Retardation Syndrome, Nondeletion Type, X-linked"	300032	ATRX	Atrx	1	1			1	1	Yes		
301045	"Congenital Disorder Of Glycosylation, Type Iir"	300556	ATP6AP2	Atp6ap2	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
301050	"Alport Syndrome, X-linked"	303630	COL4A5	Col4a5	1	1	PS301050	Alport syndrome	0	0			
301310	"Anemia, Sideroblastic, And Spinocerebellar Ataxia"	300135	ABCB7	Abcb7	1	1			1	1	Yes		
301500	Fabry Disease	300644	GLA	Gla	1	1			1	1	Yes	['granulocyte']	
302060	Barth Syndrome	300394	TAFAZZIN	Taz	1	1	PS250950	3-Methylglutaconic aciduria	0	1	Yes		
304150	"Cutis Laxa, X-linked"	300011	ATP7A	Atp7a	1	1			1	1	No		
304790	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-linked"	300292	FOXP3	Foxp3	1	1			0	0			
305000	"Dyskeratosis Congenita, X-linked"	300126	DKC1	Dkc1	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
306400	"Chronic Granulomatous Disease, X-linked"	300481	CYBB	Cybb	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes		
306700	Hemophilia A	300841	F8	F8	1	1			0	0			
306900	Hemophilia B	300746	F9	F9	1	1			0	0			
308230	"Immunodeficiency, X-linked, With Hyper-igm"	300386	CD40LG	Cd40lg	1	1	PS300755	Immunodeficiency (Select Examples)	1	0	Yes		
308230	"Immunodeficiency, X-linked, With Hyper-igm"	300386	CD40LG	Cd40lg	1	1	PS308230	Immunodeficiency with hyper-IgM	1	0	Yes	"['memory.b.cell', 'naive.b.cell']"	['mature.B.cell']
308240	"Lymphoproliferative Syndrome, X-linked, 1"	300490	SH2D1A	Sh2d1a	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
308240	"Lymphoproliferative Syndrome, X-linked, 1"	300490	SH2D1A	Sh2d1a	1	1	PS308240	Lymphoproliferative syndrome	1	1	Yes		
308300	Incontinentia Pigmenti	300248	IKBKG	Ikbkg	1	1			1	1	Yes		
309400	Menkes Disease	300011	ATP7A	Atp7a	1	1			1	1	No		
309580	"Mental Retardation-hypotonic Facies Syndrome, X-linked, 1"	300032	ATRX	Atrx	1	1			1	1	Yes		
312700	"Retinoschisis 1, X-linked, Juvenile"	300839	RS1	Rs1	1	1			0	0			
312863	"Combined Immunodeficiency, X-linked"	308380	IL2RG	Il2rg	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
313900	Thrombocytopenia 1	300392	WAS	Was	1	1	PS313900	Thrombocytopenia	1	1	Yes		
314050	"Thrombocytopenia With Beta-thalassemia, X-linked"	305371	GATA1	Gata1	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
600195	"Venous Malformations, Multiple Cutaneous And Mucosal"	600221	TEK	Tek	1	1			0	0			
600376	Osler-rendu-weber Syndrome 2	601284	ACVRL1	Acvrl1	1	1	PS187300	"Telangiectasia, hereditary hemorrhagic"	0	1		['erythroid.progenitor']	
600462	Mitochondrial Myopathy And Sideroblastic Anemia	608109	PUS1	Pus1	1	1	PS600462	"Myopathy, lactic acidosis, and sideroblastic anemia"	1	1	Yes		
600802	"Scid, Autosomal Recessive, T-negative/b-positive Type"	600173	JAK3	Jak3	1	1			1	1	Yes		
600901	"Fanconi Anemia, Complementation Group E"	613976	FANCE	Fance	1	1	PS227650	Fanconi anemia	0	1	Yes		
601399	"Platelet Disorder, Familial, With Associated Myeloid Malignancy"	151385	RUNX1	Runx1	1	1			1	1	Yes	['myeloid.progenitor']	
601457	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-positive"	179615	RAG1	Rag1	1	1			0	1	Yes		
601457	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-positive"	179616	RAG2	Rag2	1	1			0	1	Yes		
601495	"Agammaglobulinemia 1, Autosomal Recessive"	147020	IGHM		1	1	PS601495	Agammaglobulinemia	1	0			
601626	"Leukemia, Acute Myeloid"	137295	GATA2	Gata2	1	1			1	1	Yes		
601626	"Leukemia, Acute Myeloid"	600700	LPP	Lpp	1	1			1	1	Yes		
601626	"Leukemia, Acute Myeloid"	604332	CHIC2	Chic2	1	1			1	1	Yes		
601626	"Leukemia, Acute Myeloid"	187270	TERT	Tert	1	1			0	0	Yes		
601626	"Leukemia, Acute Myeloid"	602409	MLLT10	Mllt10	1	1			1	1	Yes		
601626	"Leukemia, Acute Myeloid"	116897	CEBPA	Cebpa	1	1			1	1	Yes		
601626	"Leukemia, Acute Myeloid"	151385	RUNX1	Runx1	1	1			1	1	Yes		
601705	"T-cell Immunodeficiency, Congenital Alopecia, And Nail Dystrophy"	600838	FOXN1	Foxn1	1	1			0	0			
601709	Quebec Platelet Disorder	191840	PLAU	Plau	1	1	PS231200	"Bleeding disorder, platelet-type"	0	0	Yes		
601776	"Ehlers-danlos Syndrome, Musculocontractural Type"	608429	CHST14	Chst14	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
601813	Exudative Vitreoretinopathy 4	603506	LRP5	Lrp5	1	1	PS133780	Exudative vitreoretinopathy	1	0			
601815	Phosphoglycerate Dehydrogenase Deficiency	606879	PHGDH	Phgdh	1	1			1	1	No		
601859	Autoimmune Lymphoproliferative Syndrome	134638	FASLG	Fasl	1	1			1	1	Yes	['cd8.positive..alpha.beta.t.cell']	['T.cell']
601859	Autoimmune Lymphoproliferative Syndrome	134637	FAS	Fas	1	1			1	1	Yes	['cd8.positive..alpha.beta.t.cell']	['T.cell']
601977	Thrombocythemia 2	159530	MPL	Mpl	1	1	PS187950	Thrombocythemia	1	1	Yes		
602079	Trimethylaminuria	136132	FMO3	Fmo3	1	1			0	0			
602473	"Encephalopathy, Ethylmalonic"	608451	ETHE1	Ethe1	1	1			1	1	No		
602579	"Congenital Disorder Of Glycosylation, Type Ib"	154550	MPI	Mpi	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	0			
602782	Histiocytosis-lymphadenopathy Plus Syndrome	612373	SLC29A3	Slc29a3	1	1			0	1	Yes		
603075	"Macular Degeneration, Age-related, 1"	608548	HMCN1	Hmcn1	1	1	PS603075	"Macular degeneration, age-related"	0	0		['erythroid.progenitor']	
603075	"Macular Degeneration, Age-related, 1"	605336	CFHR3		1	1	PS603075	"Macular degeneration, age-related"	0	0		['erythroid.progenitor']	
603075	"Macular Degeneration, Age-related, 1"	134371	CFHR1	Cfhr1	1	1	PS603075	"Macular degeneration, age-related"	0	0		['erythroid.progenitor']	
603075	"Macular Degeneration, Age-related, 1"	107741	APOE	Apoe	1	1	PS603075	"Macular degeneration, age-related"	1	1	Yes	['erythroid.progenitor']	
603147	"Congenital Disorder Of Glycosylation, Type Ic"	604566	ALG6	Alg6	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	NA		
603278	Focal Segmental Glomerulosclerosis 1	604638	ACTN4	Actn4	1	1	PS603278	Focal segmental glomerulosclerosis	1	1	Yes		
603284	Cerebral Cavernous Malformations 2	607929	CCM2	Ccm2	1	1	PS116860	Cerebral cavernous malformations	1	1	No		
603285	Cerebral Cavernous Malformations 3	609118	PDCD10	Pdcd10	1	1	PS116860	Cerebral cavernous malformations	1	1	No		
603467	"Fanconi Anemia, Complementation Group F"	613897	FANCF	Fancf	1	1	PS227650	Fanconi anemia	1	0	Yes		
603552	"Hemophagocytic Lymphohistiocytosis, Familial, 4"	605014	STX11	Stx11	1	1	PS267700	"Hemophagocytic lymphohistiocytosis, familial"	1	1	Yes		
603553	"Hemophagocytic Lymphohistiocytosis, Familial, 2"	170280	PRF1	Prf1	1	1	PS267700	"Hemophagocytic lymphohistiocytosis, familial"	1	0	Yes		
603554	Omenn Syndrome	605988	DCLRE1C	Dclre1c	1	1			1	1	Yes		
603554	Omenn Syndrome	179615	RAG1	Rag1	1	1			0	1	Yes		
603554	Omenn Syndrome	179616	RAG2	Rag2	1	1			0	1	Yes		
603585	"Congenital Disorder Of Glycosylation, Type Iif"	605634	SLC35A1	Slc35a1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
603903	Sickle Cell Anemia	141900	HBB	Hbb-bt	1	1			1	0			
603903	Sickle Cell Anemia	141900	HBB	Hbb-bs	1	1			1	0			
603909	"Autoimmune Lymphoproliferative Syndrome, Type Iia"	601762	CASP10		1	1			1	0			
604131	Alpha-thalassemia	141850	HBA2	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
604131	Alpha-thalassemia	141850	HBA2	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
604131	Alpha-thalassemia	141800	HBA1	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
604131	Alpha-thalassemia	141800	HBA1	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
604173	Poikiloderma With Neutropenia	613276	USB1	Usb1	1	1			1	0			
604250	"Hemochromatosis, Type 3"	604720	TFR2	Tfr2	1	1	PS235200	Hemochromatosis	1	1	Yes		
604278	"Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mentalretardation"	603345	SLC4A4	Slc4a4	1	1			0	0			
604290	"Aceruloplasminemiahypoceruloplasminemia, Included"	117700	CP	Cp	1	1			0	0			
604369	"Sialuria, Finnish Type"	604322	SLC17A5	Slc17a5	1	1			1	1	NA		
604416	"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"	606347	PSTPIP1	Pstpip1	1	1			1	1	Yes		
604498	"Amegakaryocytic Thrombocytopenia, Congenital"	159530	MPL	Mpl	1	1			1	1	Yes	['hematopoietic.stem.cell']	
604777	"Ichthyosis, Lamellar, 3"	611495	CYP4F22	Cyp4f39	1	1	PS242300	"Ichthyosis, congenital, autosomal recessive"	0	0			
604928	Wolfram Syndrome 2	611507	CISD2	Cisd2	1	1			1	1	Yes	['erythrocyte']	
605027	"Lymphoma, Non-hodgkin, Familial"	170280	PRF1	Prf1	1	1			1	0			
605275	Noonan Syndrome 2	600574	LZTR1	Lztr1	1	1	PS163950	Noonan syndrome	0	1	Yes		
605309	Macrocephaly/autism Syndrome	601728	PTEN	Pten	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
605432	Radioulnar Synostosis With Amegakaryocytic Thrombocytopenia	142958	HOXA11	Hoxa11	1	1	PS605432	Radioulnar synostosis with amegakaryocytic thrombocytopenia	0	0			
605714	"Cerebral Amyloid Angiopathy, App-related"	104760	APP	App	1	1			1	1	No		
605724	"Fanconi Anemia, Complementation Group D1"	600185	BRCA2	Brca2	1	1	PS227650	Fanconi anemia	1	1	Yes		
606003	Transaldolase Deficiency	602063	TALDO1	Taldo1	1	1			1	1	Yes		
606054	Propionic Acidemia	232050	PCCB	Pccb	1	1			1	0	Yes	['myeloid.progenitor']	
606054	Propionic Acidemia	232000	PCCA	Pcca	1	1			1	1	Yes	['myeloid.progenitor']	
606069	"Hemochromatosis, Type 4"	604653	SLC40A1	Slc40a1	1	1	PS235200	Hemochromatosis	1	1	Yes		
606164	Diamond-blackfan Anemia 15 With Mandibulofacial Dysostosis	603685	RPS28	Rps28	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
